GlobalAyahNo,SurahNameEnglish,SurahNameArabic,SurahAyahRefNumeric,SurahAyahRefArabic,ArabicText,Translation,GlyphV1,GlyphV2,PageNoEnglish,PageNoArabic
20,Surah Al-Baqarah,سورة البقرة,2:13,٢:١٣,وَإِذَا قِیلَ لَهُمۡ ءَامِنُوا۟ كَمَاۤ ءَامَنَ ٱلنَّاسُ قَالُوۤا۟ أَنُؤۡمِنُ كَمَاۤ ءَامَنَ ٱلسُّفَهَاۤءُۗ أَلَاۤ إِنَّهُمۡ هُمُ ٱلسُّفَهَاۤءُ وَلَـٰكِن لَّا یَعۡلَمُونَ ۝١٣,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know.",ﮥﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚ,ﲕﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩ,3,٣
21,Surah Al-Baqarah,سورة البقرة,2:14,٢:١٤,وَإِذَا لَقُوا۟ ٱلَّذِینَ ءَامَنُوا۟ قَالُوۤا۟ ءَامَنَّا وَإِذَا خَلَوۡا۟ إِلَىٰ شَیَـٰطِینِهِمۡ قَالُوۤا۟ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ ۝١٤,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting.""",ﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫ,ﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺ,3,٣
22,Surah Al-Baqarah,سورة البقرة,2:15,٢:١٥,ٱللَّهُ یَسۡتَهۡزِئُ بِهِمۡ وَیَمُدُّهُمۡ فِی طُغۡیَـٰنِهِمۡ یَعۡمَهُونَ ۝١٥,"Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).",ﯬﯭﯮﯯﯰﯱﯲﯳ,ﲻﲼﲽﲾﲿﳀﳁﳂ,3,٣
23,Surah Al-Baqarah,سورة البقرة,2:16,٢:١٦,أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ ٱشۡتَرَوُا۟ ٱلضَّلَـٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَـٰرَتُهُمۡ وَمَا كَانُوا۟ مُهۡتَدِینَ ۝١٦,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,",ﯴﯵﯶﯷﯸﯹﯺﯻﯼﯽﯾﯿ,ﳃﳄﳅﳆﳇﳈﳉﳊﳋﳌﳍﳎ,3,٣
24,Surah Al-Baqarah,سورة البقرة,2:17,٢:١٧,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِی ٱسۡتَوۡقَدَ نَارࣰا فَلَمَّاۤ أَضَاۤءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِی ظُلُمَـٰتࣲ لَّا یُبۡصِرُونَ ۝١٧,"Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒ,4,٤
25,Surah Al-Baqarah,سورة البقرة,2:18,٢:١٨,صُمُّۢ بُكۡمٌ عُمۡیࣱ فَهُمۡ لَا یَرۡجِعُونَ ۝١٨,"Deaf, dumb, and blind, they will not return (to the path).",ﭣﭤﭥﭦﭧﭨﭩ,ﱓﱔﱕﱖﱗﱘﱙ,4,٤
26,Surah Al-Baqarah,سورة البقرة,2:19,٢:١٩,أَوۡ كَصَیِّبࣲ مِّنَ ٱلسَّمَاۤءِ فِیهِ ظُلُمَـٰتࣱ وَرَعۡدࣱ وَبَرۡقࣱ یَجۡعَلُونَ أَصَـٰبِعَهُمۡ فِیۤ ءَاذَانِهِم مِّنَ ٱلصَّوَ ٰ⁠عِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِیطُۢ بِٱلۡكَـٰفِرِینَ ۝١٩,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!",ﭪﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼﭽﭾ,ﱚﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬﱭﱮ,4,٤
27,Surah Al-Baqarah,سورة البقرة,2:20,٢:٢٠,یَكَادُ ٱلۡبَرۡقُ یَخۡطَفُ أَبۡصَـٰرَهُمۡۖ كُلَّمَاۤ أَضَاۤءَ لَهُم مَّشَوۡا۟ فِیهِ وَإِذَاۤ أَظۡلَمَ عَلَیۡهِمۡ قَامُوا۟ۚ وَلَوۡ شَاۤءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَـٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَیۡءࣲ قَدِیرࣱ ۝٢٠,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.",ﭿﮀﮁﮂﮃﮄﮅﮆﮇﮈﮉﮊﮋﮌﮍﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛ,ﱯﱰﱱﱲﱳﱴﱵﱶﱷﱸﱹﱺﱻﱼﱽﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋ,4,٤
28,Surah Al-Baqarah,سورة البقرة,2:21,٢:٢١,یَـٰۤأَیُّهَا ٱلنَّاسُ ٱعۡبُدُوا۟ رَبَّكُمُ ٱلَّذِی خَلَقَكُمۡ وَٱلَّذِینَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ ۝٢١,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;",ﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥﮦﮧ,ﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕﲖﲗ,4,٤
29,Surah Al-Baqarah,سورة البقرة,2:22,٢:٢٢,ٱلَّذِی جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَ ٰ⁠شࣰا وَٱلسَّمَاۤءَ بِنَاۤءࣰ وَأَنزَلَ مِنَ ٱلسَّمَاۤءِ مَاۤءࣰ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَ ٰ⁠تِ رِزۡقࣰا لَّكُمۡۖ فَلَا تَجۡعَلُوا۟ لِلَّهِ أَندَادࣰا وَأَنتُمۡ تَعۡلَمُونَ ۝٢٢,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).",ﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚﯛﯜﯝﯞﯟﯠﯡ,ﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩﲪﲫﲬﲭﲮﲯﲰ,4,٤
30,Surah Al-Baqarah,سورة البقرة,2:23,٢:٢٣,وَإِن كُنتُمۡ فِی رَیۡبࣲ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُوا۟ بِسُورَةࣲ مِّن مِّثۡلِهِۦ وَٱدۡعُوا۟ شُهَدَاۤءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَـٰدِقِینَ ۝٢٣,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.",ﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱﯲﯳﯴﯵﯶ,ﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀﳁﳂﳃﳄﳅ,4,٤
31,Surah Al-Baqarah,سورة البقرة,2:24,٢:٢٤,فَإِن لَّمۡ تَفۡعَلُوا۟ وَلَن تَفۡعَلُوا۟ فَٱتَّقُوا۟ ٱلنَّارَ ٱلَّتِی وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَـٰفِرِینَ ۝٢٤,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.",ﯷﯸﯹﯺﯻﯼﯽﯾﯿﰀﰁﰂﰃﰄﰅ,ﳆﳇﳈﳉﳊﳋﳌﳍﳎﳏﳐﳑﳒﳓﳔ,4,٤
32,Surah Al-Baqarah,سورة البقرة,2:25,٢:٢٥,وَبَشِّرِ ٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ أَنَّ لَهُمۡ جَنَّـٰتࣲ تَجۡرِی مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُۖ كُلَّمَا رُزِقُوا۟ مِنۡهَا مِن ثَمَرَةࣲ رِّزۡقࣰا قَالُوا۟ هَـٰذَا ٱلَّذِی رُزِقۡنَا مِن قَبۡلُۖ وَأُتُوا۟ بِهِۦ مُتَشَـٰبِهࣰاۖ وَلَهُمۡ فِیهَاۤ أَزۡوَ ٰ⁠جࣱ مُّطَهَّرَةࣱۖ وَهُمۡ فِیهَا خَـٰلِدُونَ ۝٢٥,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧ,5,٥
33,Surah Al-Baqarah,سورة البقرة,2:26,٢:٢٦,۞ إِنَّ ٱللَّهَ لَا یَسۡتَحۡیِۦۤ أَن یَضۡرِبَ مَثَلࣰا مَّا بَعُوضَةࣰ فَمَا فَوۡقَهَاۚ فَأَمَّا ٱلَّذِینَ ءَامَنُوا۟ فَیَعۡلَمُونَ أَنَّهُ ٱلۡحَقُّ مِن رَّبِّهِمۡۖ وَأَمَّا ٱلَّذِینَ كَفَرُوا۟ فَیَقُولُونَ مَاذَاۤ أَرَادَ ٱللَّهُ بِهَـٰذَا مَثَلࣰاۘ یُضِلُّ بِهِۦ كَثِیرࣰا وَیَهۡدِی بِهِۦ كَثِیرࣰاۚ وَمَا یُضِلُّ بِهِۦۤ إِلَّا ٱلۡفَـٰسِقِینَ ۝٢٦,"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-",ﭹﭺﭻﭼﭽﭾﭿﮀﮁﮂﮃﮄﮅﮆﮇﮈﮉﮊﮋﮌﮍﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥ,ﱨﱩﱪﱫﱬﱭﱮﱯﱰﱱﱲﱳﱴﱵﱶﱷﱸﱹﱺﱻﱼﱽﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋﲌﲍﲎﲏﲐﲑﲒﲓﲔ,5,٥
34,Surah Al-Baqarah,سورة البقرة,2:27,٢:٢٧,ٱلَّذِینَ یَنقُضُونَ عَهۡدَ ٱللَّهِ مِنۢ بَعۡدِ مِیثَـٰقِهِۦ وَیَقۡطَعُونَ مَاۤ أَمَرَ ٱللَّهُ بِهِۦۤ أَن یُوصَلَ وَیُفۡسِدُونَ فِی ٱلۡأَرۡضِۚ أُو۟لَـٰۤىِٕكَ هُمُ ٱلۡخَـٰسِرُونَ ۝٢٧,"Those who break Allah´s Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.",ﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚﯛﯜ,ﲕﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩﲪ,5,٥
35,Surah Al-Baqarah,سورة البقرة,2:28,٢:٢٨,كَیۡفَ تَكۡفُرُونَ بِٱللَّهِ وَكُنتُمۡ أَمۡوَ ٰ⁠تࣰا فَأَحۡیَـٰكُمۡۖ ثُمَّ یُمِیتُكُمۡ ثُمَّ یُحۡیِیكُمۡ ثُمَّ إِلَیۡهِ تُرۡجَعُونَ ۝٢٨,"How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.",ﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫ,ﲫﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶﲷﲸﲹ,5,٥
36,Surah Al-Baqarah,سورة البقرة,2:29,٢:٢٩,هُوَ ٱلَّذِی خَلَقَ لَكُم مَّا فِی ٱلۡأَرۡضِ جَمِیعࣰا ثُمَّ ٱسۡتَوَىٰۤ إِلَى ٱلسَّمَاۤءِ فَسَوَّىٰهُنَّ سَبۡعَ سَمَـٰوَ ٰ⁠تࣲۚ وَهُوَ بِكُلِّ شَیۡءٍ عَلِیمࣱ ۝٢٩,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.",ﯬﯭﯮﯯﯰﯱﯲﯳﯴﯵﯶﯷﯸﯹﯺﯻﯼﯽﯾﯿﰀ,ﲺﲻﲼﲽﲾﲿﳀﳁﳂﳃﳄﳅﳆﳇﳈﳉﳊﳋﳌﳍﳎ,5,٥
37,Surah Al-Baqarah,سورة البقرة,2:30,٢:٣٠,وَإِذۡ قَالَ رَبُّكَ لِلۡمَلَـٰۤىِٕكَةِ إِنِّی جَاعِلࣱ فِی ٱلۡأَرۡضِ خَلِیفَةࣰۖ قَالُوۤا۟ أَتَجۡعَلُ فِیهَا مَن یُفۡسِدُ فِیهَا وَیَسۡفِكُ ٱلدِّمَاۤءَ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَكَۖ قَالَ إِنِّیۤ أَعۡلَمُ مَا لَا تَعۡلَمُونَ ۝٣٠,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟ,6,٦
38,Surah Al-Baqarah,سورة البقرة,2:31,٢:٣١,وَعَلَّمَ ءَادَمَ ٱلۡأَسۡمَاۤءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى ٱلۡمَلَـٰۤىِٕكَةِ فَقَالَ أَنۢبِـُٔونِی بِأَسۡمَاۤءِ هَـٰۤؤُلَاۤءِ إِن كُنتُمۡ صَـٰدِقِینَ ۝٣١,"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right.""",ﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼﭽﭾﭿ,ﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬﱭﱮﱯ,6,٦
39,Surah Al-Baqarah,سورة البقرة,2:32,٢:٣٢,قَالُوا۟ سُبۡحَـٰنَكَ لَا عِلۡمَ لَنَاۤ إِلَّا مَا عَلَّمۡتَنَاۤۖ إِنَّكَ أَنتَ ٱلۡعَلِیمُ ٱلۡحَكِیمُ ۝٣٢,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""",ﮀﮁﮂﮃﮄﮅﮆﮇﮈﮉﮊﮋﮌﮍ,ﱰﱱﱲﱳﱴﱵﱶﱷﱸﱹﱺﱻﱼﱽ,6,٦
40,Surah Al-Baqarah,سورة البقرة,2:33,٢:٣٣,قَالَ یَـٰۤـَٔادَمُ أَنۢبِئۡهُم بِأَسۡمَاۤىِٕهِمۡۖ فَلَمَّاۤ أَنۢبَأَهُم بِأَسۡمَاۤىِٕهِمۡ قَالَ أَلَمۡ أَقُل لَّكُمۡ إِنِّیۤ أَعۡلَمُ غَیۡبَ ٱلسَّمَـٰوَ ٰ⁠تِ وَٱلۡأَرۡضِ وَأَعۡلَمُ مَا تُبۡدُونَ وَمَا كُنتُمۡ تَكۡتُمُونَ ۝٣٣,"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""",ﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥ,ﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕ,6,٦
41,Surah Al-Baqarah,سورة البقرة,2:34,٢:٣٤,وَإِذۡ قُلۡنَا لِلۡمَلَـٰۤىِٕكَةِ ٱسۡجُدُوا۟ لِـَٔادَمَ فَسَجَدُوۤا۟ إِلَّاۤ إِبۡلِیسَ أَبَىٰ وَٱسۡتَكۡبَرَ وَكَانَ مِنَ ٱلۡكَـٰفِرِینَ ۝٣٤,"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith.",ﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔ,ﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣ,6,٦
